Date,Price,,,,,
26/07/2002,"8,264.39",,,,,
29/07/2002,"8,711.88",,,,,
30/07/2002,"8,680.03",,,,,
31/07/2002,"8,736.59",,,,,
01/08/2002,"8,506.62",,,,,
02/08/2002,"8,313.13",,,,,
05/08/2002,"8,043.63",,,,,
06/08/2002,"8,274.09",,,,,
07/08/2002,"8,456.15",,,,,
08/08/2002,"8,712.02",,,,,
09/08/2002,"8,745.45",,,,,
12/08/2002,"8,688.89",,,,,
13/08/2002,"8,482.39",,,,,
14/08/2002,"8,743.31",,,,,
15/08/2002,"8,818.14",,,,,
16/08/2002,"8,778.06",,,,,
19/08/2002,"8,990.79",,,,,
20/08/2002,"8,872.07",,,,,
21/08/2002,"8,957.23",,,,,
22/08/2002,"9,053.64",,,,,
23/08/2002,"8,872.96",,,,,
26/08/2002,"8,919.01",,,,,
27/08/2002,"8,824.41",,,,,
28/08/2002,"8,694.09",,,,,
29/08/2002,"8,670.99",,,,,
30/08/2002,"8,663.50",,,,,
03/09/2002,"8,308.05",,,,,
04/09/2002,"8,425.12",,,,,
05/09/2002,"8,283.70",,,,,
06/09/2002,"8,427.20",,,,,
09/09/2002,"8,519.38",,,,,
10/09/2002,"8,602.61",,,,,
11/09/2002,"8,581.17",,,,,
12/09/2002,"8,379.41",,,,,
13/09/2002,"8,312.69",,,,,
16/09/2002,"8,380.18",,,,,
17/09/2002,"8,207.55",,,,,
18/09/2002,"8,172.45",,,,,
19/09/2002,"7,942.39",,,,,
20/09/2002,"7,986.02",,,,,
23/09/2002,"7,872.15",,,,,
24/09/2002,"7,683.13",,,,,
25/09/2002,"7,841.82",,,,,
26/09/2002,"7,997.12",,,,,
27/09/2002,"7,701.45",,,,,
30/09/2002,"7,591.93",,,,,
01/10/2002,"7,938.79",,,,,
02/10/2002,"7,755.61",,,,,
03/10/2002,"7,717.19",,,,,
04/10/2002,"7,528.40",,,,,
07/10/2002,"7,422.84",,,,,
08/10/2002,"7,501.49",,,,,
09/10/2002,"7,286.27",,,,,
10/10/2002,"7,533.95",,,,,
11/10/2002,"7,850.29",,,,,
14/10/2002,"7,877.40",,,,,
15/10/2002,"8,255.68",,,,,
16/10/2002,"8,036.03",,,,,
17/10/2002,"8,275.04",,,,,
18/10/2002,"8,322.40",,,,,
21/10/2002,"8,538.24",,,,,
22/10/2002,"8,450.16",,,,,
23/10/2002,"8,494.27",,,,,
24/10/2002,"8,317.34",,,,,
25/10/2002,"8,443.99",,,,,
28/10/2002,"8,368.04",,,,,
29/10/2002,"8,368.94",,,,,
30/10/2002,"8,427.41",,,,,
31/10/2002,"8,397.03",,,,,
01/11/2002,"8,517.64",,,,,
04/11/2002,"8,571.60",,,,,
05/11/2002,"8,678.27",,,,,
06/11/2002,"8,771.01",,,,,
07/11/2002,"8,586.24",,,,,
08/11/2002,"8,537.13",,,,,
11/11/2002,"8,358.95",,,,,
12/11/2002,"8,386.00",,,,,
13/11/2002,"8,398.49",,,,,
14/11/2002,"8,542.13",,,,,
15/11/2002,"8,579.09",,,,,
18/11/2002,"8,486.57",,,,,
19/11/2002,"8,474.78",,,,,
20/11/2002,"8,623.01",,,,,
21/11/2002,"8,845.15",,,,,
22/11/2002,"8,804.84",,,,,
25/11/2002,"8,849.40",,,,,
26/11/2002,"8,676.42",,,,,
27/11/2002,"8,931.68",,,,,
29/11/2002,"8,896.09",,,,,
02/12/2002,"8,862.57",,,,,
03/12/2002,"8,742.93",,,,,
